reading_id,waterpoint_id,habitation,flow_ok,usage_count,recorded_at
1,WP001,Anna Nagar,1,45,2026-07-20 08:00:00
2,WP002,Gandhi Nagar,0,0,2026-07-20 08:15:00
3,WP003,Periyar Nagar,1,32,2026-07-20 08:30:00
4,WP004,Ambedkar Nagar,1,28,2026-07-20 09:00:00
5,WP005,Indira Nagar,0,0,2026-07-20 09:15:00
6,WP006,Teachers Colony,1,51,2026-07-20 09:30:00
7,WP007,North Street,1,39,2026-07-20 10:00:00
8,WP008,South Street,0,0,2026-07-20 10:15:00
9,WP009,East Street,1,42,2026-07-20 10:30:00
10,WP010,West Street,1,35,2026-07-20 11:00:00
11,WP011,Lake View,0,0,2026-07-20 11:15:00
12,WP012,Temple Street,1,48,2026-07-20 11:30:00
13,WP013,Market Area,1,31,2026-07-20 12:00:00
14,WP014,School Road,0,0,2026-07-20 12:15:00
15,WP015,Main Road,1,55,2026-07-20 12:30:00
16,WP016,Station Road,1,37,2026-07-20 13:00:00
17,WP017,Church Street,0,0,2026-07-20 13:15:00
18,WP018,Post Office Road,1,44,2026-07-20 13:30:00
19,WP019,Hospital Road,1,29,2026-07-20 14:00:00
20,WP020,Bus Stand,0,0,2026-07-20 14:15:00
21,WP021,New Colony,1,40,2026-07-20 14:30:00
22,WP022,Old Colony,1,33,2026-07-20 15:00:00
23,WP023,East Colony,0,0,2026-07-20 15:15:00
24,WP024,West Colony,1,47,2026-07-20 15:30:00
25,WP025,North Colony,1,38,2026-07-20 16:00:00
26,WP026,South Colony,0,0,2026-07-20 16:15:00
27,WP027,Green Nagar,1,52,2026-07-20 16:30:00
28,WP028,Blue Nagar,1,36,2026-07-20 17:00:00
29,WP029,Red Nagar,0,0,2026-07-20 17:15:00
30,WP030,Yellow Nagar,1,43,2026-07-20 17:30:00
31,WP031,Station Colony,1,30,2026-07-21 08:00:00
32,WP032,River Road,0,0,2026-07-21 08:15:00
33,WP033,Forest Road,1,49,2026-07-21 08:30:00
34,WP034,Hill View,1,34,2026-07-21 09:00:00
35,WP035,Beach Road,0,0,2026-07-21 09:15:00
36,WP036,Coastal Nagar,1,46,2026-07-21 09:30:00
37,WP037,Central Nagar,1,41,2026-07-21 10:00:00
38,WP038,East Nagar,0,0,2026-07-21 10:15:00
39,WP039,West Nagar,1,53,2026-07-21 10:30:00
40,WP040,South Nagar,1,27,2026-07-21 11:00:00
